type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-03 14:15:00,2019-01-04 10:15:00,3.5,3.5,Long,14072,0.0,0.0,985100.25,SL,RTNPOWER,0 days 20:00:00
Long,2019-01-03 14:15:00,2019-01-04 10:15:00,34.7,33.7,Long,1419,-1.0,-1419.0,983681.25,SL,SAKUMA-BE,0 days 20:00:00
Long,2019-01-03 14:15:00,2019-01-04 10:15:00,3.45,3.45,Long,14256,0.0,0.0,983681.25,SL,URJA,0 days 20:00:00
Long,2019-01-03 15:15:00,2019-01-04 11:15:00,2.1,2.1,Long,23420,0.0,0.0,983681.25,SL,JPPOWER,0 days 20:00:00
Long,2019-01-03 15:15:00,2019-01-04 11:15:00,9.2,9.15,Long,5346,-0.049999999999998934,-267.2999999999943,983413.95,SL,BAJAJHIND,0 days 20:00:00
Long,2019-01-03 15:15:00,2019-01-04 11:15:00,307.9,317.35,Long,159,9.450000000000045,1502.5500000000072,984916.5,TP,BHARTIARTL,0 days 20:00:00
Long,2019-01-03 15:15:00,2019-01-04 11:15:00,123.6,121.1,Long,398,-2.5,-995.0,983921.5,SL,PRAJIND,0 days 20:00:00
Long,2019-01-04 09:15:00,2019-01-04 12:15:00,4.05,3.95,Long,12147,-0.09999999999999964,-1214.6999999999957,982706.8,SL,TTML,0 days 03:00:00
Long,2019-01-04 09:15:00,2019-01-04 12:15:00,3.75,3.75,Long,13102,0.0,0.0,982706.8,SL,RAMASTEEL,0 days 03:00:00
Long,2019-01-04 09:15:00,2019-01-04 12:15:00,25.6,25.5,Long,1919,-0.10000000000000142,-191.90000000000273,982514.9,SL,SJVN,0 days 03:00:00
Long,2019-01-04 10:15:00,2019-01-04 13:15:00,17.0,16.75,Long,2889,-0.25,-722.25,981792.65,SL,MTNL,0 days 03:00:00
Long,2019-01-04 10:15:00,2019-01-04 13:15:00,1.3,1.3,Long,37761,0.0,0.0,981792.65,SL,BCG,0 days 03:00:00
Long,2019-01-04 10:15:00,2019-01-04 13:15:00,13.6,14.0,Long,3609,0.40000000000000036,1443.6000000000013,983236.25,TP,RCOM-BE,0 days 03:00:00
Long,2019-01-04 10:15:00,2019-01-04 13:15:00,29.55,30.05,Long,1663,0.5,831.5,984067.75,TP,FILATEX,0 days 03:00:00
Long,2019-01-04 11:15:00,2019-01-04 14:15:00,111.9,108.75,Long,439,-3.1500000000000057,-1382.8500000000024,982684.9,SL,BALRAMCHIN,0 days 03:00:00
Long,2019-01-04 11:15:00,2019-01-04 14:15:00,501.4,500.05,Long,97,-1.349999999999966,-130.9499999999967,982553.9500000001,SL,MUTHOOTFIN,0 days 03:00:00
Long,2019-01-04 11:15:00,2019-01-04 14:15:00,90.2,92.85,Long,544,2.6499999999999915,1441.5999999999954,983995.55,TP,UNIONBANK,0 days 03:00:00
Long,2019-01-04 11:15:00,2019-01-04 14:15:00,0.9,0.9,Long,54666,0.0,0.0,983995.55,SL,GTLINFRA,0 days 03:00:00
Long,2019-01-04 12:15:00,2019-01-04 15:15:00,475.05,477.25,Long,103,2.1999999999999886,226.59999999999883,984222.15,TP,LICHSGFIN,0 days 03:00:00
Long,2019-01-04 12:15:00,2019-01-04 15:15:00,3.45,3.5,Long,14264,0.04999999999999982,713.1999999999974,984935.35,TP,URJA,0 days 03:00:00
Long,2019-01-04 12:15:00,2019-01-04 15:15:00,171.1,175.7,Long,287,4.599999999999994,1320.1999999999985,986255.5499999999,TP,DCBBANK,0 days 03:00:00
Long,2019-01-04 12:15:00,2019-01-04 15:15:00,30.4,30.65,Long,1622,0.25,405.5,986661.0499999999,TP,BEL,0 days 03:00:00
Long,2019-01-04 13:15:00,2019-01-07 09:15:00,5.0,5.0,Long,9866,0.0,0.0,986661.0499999999,SL,SUZLON-BE,2 days 20:00:00
Long,2019-01-04 13:15:00,2019-01-07 09:15:00,317.35,318.2,Long,155,0.8499999999999659,131.7499999999947,986792.7999999999,TP,BHARTIARTL,2 days 20:00:00
Long,2019-01-04 13:15:00,2019-01-07 09:15:00,2.1,2.05,Long,23495,-0.050000000000000266,-1174.7500000000064,985618.0499999999,SL,JPPOWER,2 days 20:00:00
Long,2019-01-04 13:15:00,2019-01-07 09:15:00,499.35,487.0,Long,98,-12.350000000000023,-1210.3000000000022,984407.7499999999,SL,JUSTDIAL,2 days 20:00:00
Long,2019-01-04 15:15:00,2019-01-07 11:15:00,193.3,194.95,Long,254,1.6499999999999773,419.0999999999942,984826.8499999999,TP,VEDL,2 days 20:00:00
Long,2019-01-04 15:15:00,2019-01-07 11:15:00,152.7,155.95,Long,322,3.25,1046.5,985873.3499999999,TP,JINDALSTEL,2 days 20:00:00
Long,2019-01-04 15:15:00,2019-01-07 11:15:00,259.25,264.3,Long,190,5.050000000000011,959.5000000000022,986832.8499999999,TP,DELTACORP,2 days 20:00:00
